,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
74964,29FY3VgcPOAMw8e9zvE0Nc,Paulo Novaes;Tiago Nacarato,Minha Cabeça,A Pessoa Que Você Mais Ama,38,194120,False,0.483,0.362,7,-10.766,1,0.0519,0.505,0.0,0.113,0.678,105.241,4,mpb
96563,5wLhrfcQ4f0ajIgViGVPBY,Teresa Cristina,Canta Cartola,O Mundo É Um Moinho,40,235160,False,0.573,0.169,4,-17.362,1,0.082,0.978,0.00064,0.969,0.346,82.016,4,samba
33306,7o6FydJ4BiJCVfEQvjFvKG,44phantom,"die sometime, it's good for u",freak,55,145626,True,0.615,0.624,10,-5.927,1,0.0363,0.00935,0.0,0.15,0.752,159.943,4,emo
103108,3PfEYl7Yn6Pegnu8tQ2UAK,Stevie Wonder,A Very 60s Christmas,The Little Drummer Boy,0,185453,False,0.523,0.448,2,-13.53,1,0.0593,0.442,0.0,0.111,0.351,134.511,4,soul
38250,041cnMmgqUk1HqJFtfs0eP,Brad stank,Eternal Slowdown,Slowdown,53,100762,False,0.68,0.259,6,-13.947,1,0.045,0.495,0.753,0.337,0.162,95.964,3,garage
75891,18rGqPAMRSKsp7MVe7xG0E,Dan Gibson's Solitudes,Songbirds at Sunrise,New England Spring,20,368150,False,0.331,0.0354,1,-25.607,1,0.046,0.946,0.000877,0.188,0.105,105.318,3,new-age
8055,1lJWopyBsnNY029HUETv0R,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
30561,6iW38RGqdDGOofmz2HeXLW,MEDUZA;Alok;Goodboys,Piece Of Your Heart (Alok Remix),Piece Of Your Heart - Alok Remix,75,166451,False,0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,4,edm
75871,36w3SAzuKQzSY7kBIzuj1s,Helen Jane Long,Identity,Light Up,19,149546,False,0.24,0.271,2,-14.398,1,0.0369,0.96,0.876,0.0882,0.197,54.362,4,new-age
50135,7H9SmSwJugSwDK5k41Oilf,Pappo;Pappo's Blues,"Pappo y Amigos, Vol. 1",El Gato de la Calle Negra,33,288000,False,0.537,0.885,4,-5.178,0,0.0283,0.000184,0.000104,0.289,0.604,100.226,4,heavy-metal
23120,2n6qz4opcJlHsEpI8030YM,J. Worra;Leo Stannard,Check Out,Check Out,70,174138,False,0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0,4,deep-house
72777,1SH5MqcOHv9LOavHb84jSQ,Counterparts,The Current Will Carry Us,Optimist,25,158720,False,0.305,0.902,0,-6.227,1,0.096,3.74e-05,0.0119,0.185,0.248,112.623,4,metalcore
56050,7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Immunity,Sofia,81,188386,False,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4,indie-pop
89760,7hOfyNuj2dLc0HAEYVDIYS,Nicky Jam;Enrique Iglesias,Fénix,El Perdón - Forgiveness,51,206666,False,0.736,0.719,8,-3.839,1,0.0357,0.256,0.0,0.0909,0.656,90.013,4,reggaeton
41611,2zvAon77qSlqp1fWHyyFvR,The Naked And The Dead,The Naked and the Dead,Cassandra,22,206160,False,0.144,0.987,0,-4.283,1,0.179,9.11e-05,0.28,0.348,0.399,177.502,4,goth
79123,2TVxnKdb3tqe1nhQWwwZCO,Elton John,Madman Across The Water,Tiny Dancer,78,377093,False,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4,piano
85083,3RXdPd3JIR8oZnWljpL3dS,Set It Off,Slowed + Reverbed 2022,Skeleton - Slowed & Reverb,0,238488,False,0.425,0.749,0,-4.935,1,0.0663,0.00459,0.0,0.497,0.261,133.913,4,punk-rock
78926,2GKdy0yGE6U0XSKe2LPt43,Fäaschtbänkler,Mitten in die Scheibe,10'000 Meilen,24,177986,False,0.678,0.582,0,-6.322,1,0.0325,0.139,1.34e-06,0.118,0.577,115.979,4,party
68242,0bYsT1b741xstgFwe4WoKp,Wisin & Yandel,Noche de Halloween Latino,Hipnotízame,7,243386,False,0.775,0.828,0,-3.972,1,0.139,0.289,0.0,0.434,0.571,79.992,4,latino
109608,3eQgJy6ckODN5W4rughtnp,Kyoko Koizumi,魔女,魔女,28,276173,False,0.81,0.658,2,-6.131,1,0.0293,0.516,5.19e-06,0.362,0.803,108.991,4,techno
23310,5tfqO6elC42ZwXfIN1aSDk,Jamie Jones;AMÉMÉ,Pliva,Pliva,51,244570,False,0.667,0.886,1,-6.999,1,0.0516,0.00306,0.531,0.0523,0.774,123.007,4,deep-house
104390,4gEOtlRkCuJ19y5bpCUdY3,Mägo de Oz,Folktergeist,Pensando En Ti,31,280798,False,0.122,0.446,9,-5.687,0,0.0332,0.704,3.79e-06,0.805,0.215,61.292,5,spanish
52834,5m3ciBu1XZ9J9Wri7MqTK2,Ernest Tubb,The Definitive Collection,Thanks A Lot,12,151906,False,0.638,0.386,7,-14.562,1,0.0345,0.632,0.03,0.208,0.741,168.349,4,honky-tonk
91981,5ugV3rhvi2h6l52e1cIfLw,3 Doors Down,Fishing Music,Kryptonite,0,234626,False,0.544,0.848,11,-6.804,0,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,4,rock
28857,1xZsXDIGuqUTFRVJ15B3bf,ILLENIUM;Sound Remedy;Dana Salah,Ashes,Spirals,40,361500,False,0.218,0.557,1,-5.497,1,0.0359,0.0192,1.62e-06,0.185,0.0584,139.804,4,dub
73011,6T5hiZikP7CNI2uXdWYlCg,Joachim Pastor,Eternity,Millenium,53,421935,False,0.443,0.517,6,-10.019,0,0.0542,0.0372,0.895,0.0702,0.0739,123.978,4,minimal-techno
96800,6bj0aQOkcVBuI0z7yID3mm,Ruku Suna,Dadhi Pachigala Bali Kete Katha Kahesi,Dadhi Pachigala Bali Kete Katha Kahesi,24,439902,False,0.335,0.898,5,-2.364,0,0.14,0.022,6.48e-06,0.324,0.806,164.02,4,samba
33476,5LAVhynnTmj9VJjW8xGZdP,Lil Peep,crybaby,ghost girl,66,173946,True,0.52,0.823,2,-7.069,1,0.0577,0.281,5.9e-06,0.125,0.317,80.035,4,emo
3312,4Kh6cq3XgOGUK9yXQu7RTq,Royal & the Serpent;Chri$tian Gate$,overwhelmed (the remixes),overwhelmed - Chri$tian Gate$ remix,69,134482,True,0.619,0.502,0,-8.097,0,0.249,0.178,0.0,0.155,0.38,174.196,4,alternative
29308,6O4dKR2qDrowPXV7lwUNA8,Krewella;Asim Azhar,zer0,Paradise,33,214992,False,0.651,0.803,8,-4.749,0,0.0704,0.12,0.0,0.118,0.275,103.025,4,dubstep
9106,49PonczSLhra0DxsSdSxq8,Sant;LP Beatzz;Costa Gold,Rap dos Novos Bandidos,5AM,50,274323,True,0.794,0.633,8,-7.502,0,0.288,0.417,0.0,0.137,0.701,139.989,4,brazil
71016,6lePhNNMArBmIlN6CcXV53,Ghost,Release Your ANGER,Faith,6,269706,False,0.355,0.823,9,-6.254,1,0.0517,0.000519,0.072,0.258,0.229,183.859,4,metal
51859,2bIllkzKKCotWs0AuCsIoh,Burna Boy;Wizkid,2Step - Pop R'n'B,B. D’OR,2,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,hip-hop
36590,7AALbooevgNyqFpc59j8wd,Julien Granel,COOLEUR,COULEUR,33,201400,False,0.644,0.591,0,-7.559,1,0.0274,0.148,0.00323,0.0903,0.379,103.027,4,french
107202,4OdhffpvG3HxDJMxYOKh97,A Flock Of Seagulls,A Flock Of Seagulls,I Ran (So Far Away),63,308933,False,0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4,synth-pop
102748,1iIk4Q10fffmVs3WPvDfxU,Lars Winnerbäck,REGNIG DAG,Jag har väntat på ett regn,0,370946,False,0.47,0.499,1,-12.614,0,0.0367,0.123,0.288,0.109,0.267,106.41,4,songwriter
66955,2xKkZ9xk7tqNuR2QJRxS4P,Dora The Explorer,Dora The Explorer,When You Grow Up What Will You Be?,13,84786,False,0.648,0.668,0,-5.333,1,0.0365,0.0617,0.00105,0.273,0.851,174.86,4,kids
